,PC1,PC2,PC3,PC4,PC5,PC6
expressibility_kl,-0.20645193573252427,-0.14812529227292498,-0.13306811594763787,-0.079598538052078,0.636780594704863,0.6408368621795673
meyer_wallach_mean,0.3264701814615754,0.027632177752878708,-0.13161471661090232,0.14327862352709925,0.15680462235477224,0.18258808181404088
log10_gradient_variance_mean_staggered_z,-0.21956947816920144,0.20138701440493648,0.05657877066208916,-0.47832906056210284,0.41204532012661543,-0.20717715283579588
parameter_count,0.26074678985297806,-0.16901532654009502,-0.06006724585684532,-0.1920574143304633,-0.4116285969608775,0.5583583809446253
logical_depth,0.27202523044016913,-0.02458513202747964,-0.41092348672891693,-0.02496465806689781,0.0794822015013055,-0.1715005646541779
total_gate_count,0.28490009722679915,-0.18384929933490135,-0.11532888469235189,-0.38672723967149664,0.005733535941697523,-0.03170839556480307
two_qubit_gate_count,0.2746297737154737,-0.1618365941851638,-0.22953553961918313,-0.28752557183944033,0.2190323897136825,-0.32421758156587815
connectivity_density,0.04843995829791901,0.47536342247814384,-0.11840500729601232,-0.0024854793552734657,0.027410478223727257,0.0433379755249182
mean_degree,0.3037594963691417,0.08453175300474831,0.05239444818112186,0.29392864752510234,0.19021567756340474,0.08360234586722197
n_components,-0.2712191410803856,-0.2205670687090902,-0.28764028126936336,0.007574386014896271,-0.0573158157028307,0.008416844695245328
largest_component_fraction,0.28529088280714476,0.20814907175763028,0.2746286830611818,0.005048339025691872,0.09303436477353641,0.07145026470743272
global_efficiency,0.1842361844090026,0.41346079737489494,0.04775282649653303,0.024446155593409888,0.04937086218569247,0.10523801089155702
avg_shortest_path_lcc,0.23994194031619573,-0.20153255143231671,0.42678641458105004,-0.04844959752172364,0.14126311856159096,-0.04231582366960369
diameter_lcc,0.22309614876787787,-0.18983950235081745,0.45963997413104496,-0.10339123146836966,0.13917047080564665,-0.046774732783911824
mean_edges_per_layer,0.18745371624000673,-0.21354121021531416,-0.24045029083621014,0.536404999092556,0.2673143966093959,-0.17989245507622723
edge_coverage,0.04843995829791895,0.47536342247814395,-0.11840500729601233,-0.002485479355273313,0.027410478223727296,0.04333797552491811
edge_reuse_fraction,0.2750792175514003,0.05753291406291403,-0.28436076570243346,-0.2945235334633569,-0.11633799786730785,0.04931341632811357
