family,n_qubits,depth_setting,expressibility_kl,meyer_wallach_mean,meyer_wallach_std,gradient_variance,log10_gradient_variance,mean_abs_gradient,near_zero_gradient_fraction,parameter_count,compiled_depth,total_gate_count,two_qubit_gate_count,connectivity_edges,connectivity_density,mean_degree,max_degree,degree_std,n_components,avg_shortest_path,diameter,clustering_coefficient,pareto_quantum
brickwall,4.0,1.0,0.3703344080422613,0.31924726506767087,0.1829907016674176,0.006290626217665974,-2.2013061193655883,0.03592947515941161,0.6666666666666666,12.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,,,0.0,False
brickwall,4.0,2.0,0.12109330124447291,0.4995803397697727,0.1418152093184167,0.0067335837983634956,-2.171753730784308,0.046831119737099,0.3333333333333333,24.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,False
brickwall,4.0,3.0,0.0852516075525049,0.6851698893081805,0.08933389150003979,0.0047193940971839285,-2.326113754997394,0.04146253670792704,0.2222222222222222,36.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,False
brickwall,6.0,1.0,0.03521726901092949,0.3534284962335657,0.17817990161504998,0.0035603386947157503,-2.4485086856649354,0.028453623395031862,0.6666666666666666,18.0,2.0,9.0,3.0,3.0,0.2,1.0,1.0,0.0,3.0,,,0.0,False
brickwall,6.0,2.0,0.027874394070863066,0.5997104831024752,0.1491544955180469,0.0014529433451419725,-2.8377513198877455,0.017816417353105334,0.3333333333333333,36.0,4.0,17.0,5.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,2.3333333333333335,5.0,0.0,False
brickwall,6.0,3.0,0.13613134293285004,0.6236752113187946,0.11046456640119613,0.0023256071531568855,-2.6334636454224474,0.028358958244353704,0.2222222222222222,54.0,6.0,26.0,8.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,2.3333333333333335,5.0,0.0,False
hea_line,4.0,1.0,0.20691906299841678,0.5412196122509921,0.23594883053335441,0.005115880355103279,-2.2910796209029294,0.027347037061538838,0.6666666666666666,12.0,4.0,7.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,False
hea_line,4.0,2.0,0.06142538111501054,0.7726383423008002,0.08978521602259178,0.005276060521060057,-2.2776902313569707,0.04214935719167796,0.3333333333333333,24.0,7.0,14.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,True
hea_line,4.0,3.0,0.13556602199290893,0.7750607818493398,0.11146346070642137,0.004126579661695425,-2.3844097666213253,0.040376017768030396,0.2222222222222222,36.0,10.0,21.0,9.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,False
hea_line,6.0,1.0,0.3244919603198035,0.6973707594405046,0.16170006998140302,0.005655887062966441,-2.247499271138344,0.02143545381646199,0.6666666666666666,18.0,6.0,11.0,5.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,2.3333333333333335,5.0,0.0,False
hea_line,6.0,2.0,0.07749364987056506,0.7990768498345696,0.1062744861033497,0.001305633422198887,-2.884178741180007,0.016878714383206633,0.3333333333333333,36.0,9.0,22.0,10.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,2.3333333333333335,5.0,0.0,False
hea_line,6.0,3.0,0.0030303843830940657,0.8833590007734607,0.05080220136232912,0.0016311651006672844,-2.7875020790088274,0.022648941056695796,0.2222222222222222,54.0,12.0,33.0,15.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,2.3333333333333335,5.0,0.0,True
hea_ring,4.0,1.0,0.21470330782420147,0.8304767684920007,0.10400297670496278,0.00857902560488624,-2.0665620359801995,0.0375639683846809,0.6666666666666666,12.0,5.0,8.0,4.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.3333333333333333,2.0,0.0,True
hea_ring,4.0,2.0,0.06302832688654234,0.8414835633093668,0.07838315151352991,0.0029683735676770415,-2.5274814443055655,0.03192910582544745,0.3333333333333333,24.0,10.0,16.0,8.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.3333333333333333,2.0,0.0,True
hea_ring,4.0,3.0,0.10406507731858465,0.8484179431374033,0.08123526457311675,0.007653948108367259,-2.1161144864969588,0.06407148893180438,0.2222222222222222,36.0,15.0,24.0,12.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.3333333333333333,2.0,0.0,True
hea_ring,6.0,1.0,0.0016524569275470262,0.7998370829434337,0.10748137125783573,0.0018538560121958028,-2.731924000254744,0.012852126160278844,0.6666666666666666,18.0,7.0,12.0,6.0,6.0,0.4,2.0,2.0,0.0,1.0,1.8,3.0,0.0,True
hea_ring,6.0,2.0,0.0776132844632886,0.8978840776855493,0.06718069673524163,0.001104810758242863,-2.9567121054080983,0.01844877831406239,0.3333333333333333,36.0,14.0,24.0,12.0,6.0,0.4,2.0,2.0,0.0,1.0,1.8,3.0,0.0,False
hea_ring,6.0,3.0,0.0016524569275470262,0.950170481621094,0.024062969536092983,0.0011168994553555523,-2.951985920841098,0.021903060396861664,0.2222222222222222,54.0,21.0,36.0,18.0,6.0,0.4,2.0,2.0,0.0,1.0,1.8,3.0,0.0,True
symmetry_xy,4.0,1.0,27.631021084577938,3.3306690738754696e-16,1.3214297116801535e-15,9.223833275425774e-33,-19.9999999999996,7.445154477063743e-17,1.0,6.0,3.0,8.0,4.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,,,0.0,False
symmetry_xy,4.0,2.0,27.631021084577938,-4.070817756958907e-16,1.3742669689362878e-15,1.5473047815745388e-32,-19.99999999999933,9.268303612327051e-17,1.0,11.0,6.0,14.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,False
symmetry_xy,4.0,3.0,27.631021084577938,1.8503717077085943e-16,1.9140393775094095e-15,7.098335710896385e-32,-19.999999999996916,1.6593705987556129e-16,1.0,17.0,9.0,22.0,10.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,False
symmetry_xy,6.0,1.0,27.631021115285087,-1.295260195396016e-16,1.122948498684755e-15,1.0568221811211266e-32,-19.99999999999954,8.529027135242946e-17,1.0,9.0,3.0,12.0,6.0,3.0,0.2,1.0,1.0,0.0,3.0,,,0.0,False
symmetry_xy,6.0,2.0,27.631021115285087,1.1102230246251565e-15,2.2185949059112325e-15,3.755541843197179e-32,-19.99999999999837,1.3528556383555548e-16,1.0,17.0,6.0,22.0,10.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,2.3333333333333335,5.0,0.0,False
symmetry_xy,6.0,3.0,27.631021115285087,8.326672684688674e-16,3.04199082786122e-15,2.166640073739514e-32,-19.99999999999906,1.1639274417281022e-16,1.0,26.0,9.0,34.0,16.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,2.3333333333333335,5.0,0.0,False
ttn,4.0,1.0,0.20495496725506668,0.5394900131837604,0.26511293491291593,0.011113320063300526,-1.9541561778034524,0.03961306600130701,0.6666666666666666,12.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,,,0.0,True
ttn,4.0,2.0,0.26143741307302004,0.6013187398006594,0.20947381287795433,0.010685114263044714,-1.9712208292748792,0.05113208708578709,0.3333333333333333,24.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,True
ttn,4.0,3.0,0.028936290016921707,0.7395156715602274,0.14042466256788635,0.004816580595223114,-2.317261168323353,0.04292349115425639,0.2222222222222222,36.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.6666666666666667,3.0,0.0,True
ttn,6.0,1.0,0.3159058401110665,0.2586741257701846,0.17076381655460315,0.0038111552369400918,-2.4189433610747506,0.024558140522820463,0.6666666666666666,18.0,2.0,9.0,3.0,3.0,0.2,1.0,1.0,0.0,3.0,,,0.0,False
ttn,6.0,2.0,0.09985012321754369,0.5232912391955409,0.15684707366821388,0.002441814473530157,-2.6122873363710513,0.030055186211309856,0.3333333333333333,36.0,4.0,16.0,4.0,4.0,0.26666666666666666,1.3333333333333333,2.0,0.4714045207910317,2.0,,,0.0,False
ttn,6.0,3.0,0.0030303843830940657,0.5393443252883809,0.1398045126133182,0.0026467965365834308,-2.577279442316068,0.03180370468911899,0.2222222222222222,54.0,6.0,23.0,5.0,5.0,0.3333333333333333,1.6666666666666667,3.0,0.74535599249993,1.0,2.066666666666667,4.0,0.0,True
