family,n_qubits,depth_setting,effective_hilbert_dim,expressibility_kl,meyer_wallach_mean,meyer_wallach_std,gradient_variance_mean_local_z,gradient_variance_median_local_z,log10_gradient_variance_mean_local_z,mean_abs_gradient_local_z,near_zero_gradient_fraction_local_z,gradient_variance_mean_staggered_z,gradient_variance_median_staggered_z,log10_gradient_variance_mean_staggered_z,mean_abs_gradient_staggered_z,near_zero_gradient_fraction_staggered_z,parameter_count,logical_depth,compiled_depth,total_gate_count,two_qubit_gate_count,connectivity_edges,connectivity_density,mean_degree,max_degree,degree_std,n_components,largest_component_fraction,global_efficiency,avg_shortest_path,diameter,avg_shortest_path_lcc,diameter_lcc,clustering_coefficient,mean_edges_per_layer,std_edges_per_layer,edge_coverage,edge_reuse_fraction,pareto_quantum
brickwall,4.0,1.0,16.0,0.22920821923302254,0.3729237609408649,0.2252004815233676,0.040411091918745666,4.236871562141308e-33,-1.3957101848441447,0.051898426389110755,0.9166666666666666,0.0105831577434084,1.1153441046321759e-33,-1.9759818526313186,0.043555465938991324,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,False
brickwall,4.0,2.0,16.0,0.0718895489031426,0.5491004715141352,0.19500199169692206,0.02890934579427588,5.450647140154398e-33,-1.5396747057734033,0.05501834624345956,0.75,0.006990196322477429,0.00298417694120146,-2.156040743036414,0.045073239927358226,0.3333333333333333,24.0,4.0,4.0,11.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.0,False
brickwall,4.0,3.0,16.0,0.0167317981829667,0.6759528496550748,0.15615144723717697,0.028396642848949383,5.4481645482085105e-33,-1.5473429695119834,0.05900498350016462,0.75,0.00585577766842198,0.00466928405425983,-2.232926425365707,0.046399563555038145,0.22222222222222224,36.0,6.0,6.0,17.0,5.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6666666666666667,0.4714045207910317,0.5,0.4,False
brickwall,4.0,4.0,16.0,0.00540418886283089,0.7067719074001794,0.14431506517823914,0.02252805163009056,0.00266806706158233,-1.647901103731377,0.06685766800942113,0.4791666666666667,0.00545047461643784,0.00527931619144275,-2.2638533402982635,0.04922123735915218,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5,False
brickwall,4.0,5.0,16.0,0.00244019286602375,0.7622933329994552,0.12028550556795581,0.02127534804360861,9.065620145096066e-33,-1.6724404290285317,0.06516258056417312,0.5333333333333333,0.0054546158487522,0.005369328610638871,-2.2639258444867365,0.05056637793548665,0.1333333333333333,60.0,10.0,10.0,28.0,8.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6,0.4898979485566356,0.5,0.625,False
brickwall,6.0,1.0,64.0,0.19800506324578662,0.3789748254452633,0.1818350203628542,0.02731262302414571,5.491780695274968e-33,-1.5650377454829008,0.03492674448136224,0.9444444444444444,0.00461749728696891,9.05600538149488e-34,-2.335972599963506,0.02895733724296795,0.6667222222222222,18.0,2.0,2.0,9.0,3.0,3.0,0.2,1.0,1.0,0.0,3.0,0.3333333333333333,0.2,,,1.0,1.0,0.0,3.0,0.0,0.2,0.0,False
brickwall,6.0,2.0,64.0,0.09267468483100198,0.6064409197926587,0.15468414769488098,0.01922172597017781,4.8337201601864794e-33,-1.7167592089817056,0.03641857725762482,0.8333333333333334,0.00303044740693431,0.00120715430481097,-2.51895331211718,0.02898248943010858,0.3333333333333333,36.0,4.0,4.0,17.0,5.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,2.5,0.5,0.3333333333333333,0.0,False
brickwall,6.0,3.0,64.0,0.03693304780028331,0.7254976451058394,0.12244942785960233,0.01794400802801612,4.166972432599963e-33,-1.7466939952532072,0.03783252624583452,0.8333333333333334,0.00228323127730771,0.00185198592782358,-2.641836771673943,0.02823944094520724,0.22222222222222224,54.0,6.0,6.0,26.0,8.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,2.6666666666666665,0.4714045207910317,0.3333333333333333,0.375,False
brickwall,6.0,4.0,64.0,0.014585508038319739,0.7786019920702019,0.10185385816319918,0.01530668272424798,4.1941259132097636e-33,-1.815508376213856,0.044823137787803495,0.6527777777777778,0.0019918219927746303,0.00185886090102033,-2.7011018894238,0.028752135550280777,0.1666666666666666,72.0,8.0,8.0,34.0,10.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,2.5,0.5,0.3333333333333333,0.5,False
brickwall,6.0,5.0,64.0,0.0061826785535046,0.8305397694380536,0.08270353414297527,0.014285843374663931,3.87425628605689e-33,-1.8454267743289272,0.04343098933161416,0.6888888888888889,0.00173785547976976,0.001627725740159,-2.7603726762167797,0.02769845536669801,0.1333333333333333,90.0,10.0,10.0,43.0,13.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,2.6,0.4898979485566356,0.3333333333333333,0.6153846153846154,False
brickwall,8.0,1.0,256.0,0.21178867807816473,0.37638523767093857,0.1554394611309921,0.02053173947727318,6.942250765828067e-33,-1.6882111153775035,0.026114496571072,0.9583333333333334,0.0025611737992303403,7.207210166532122e-34,-2.5918775171888884,0.02146534339085939,0.6666666666666666,24.0,2.0,2.0,12.0,4.0,4.0,0.1428571428571428,1.0,1.0,0.0,4.0,0.25,0.1428571428571428,,,1.0,1.0,0.0,4.0,0.0,0.1428571428571428,0.0,False
brickwall,8.0,2.0,256.0,0.11901804764260344,0.6339400430218272,0.1382939859330235,0.014206707120331629,5.2814384011067506e-33,-1.8479469202173981,0.027152758464533227,0.875,0.0015853303300858601,0.00062684903544686,-2.8002917913876093,0.02070790276295421,0.3333333333333333,48.0,4.0,4.0,23.0,7.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,3.5,0.5,0.25,0.0,False
brickwall,8.0,3.0,256.0,0.04607743659874989,0.7588638987068058,0.0978705199773535,0.01389976383176315,5.069130091842707e-33,-1.857275147101434,0.029187261837905643,0.875,0.00120716205683103,0.0009915339226467998,-2.9186172003490687,0.02032743768902441,0.22222222222222224,72.0,6.0,6.0,35.0,11.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,3.6666666666666665,0.4714045207910317,0.25,0.3636363636363636,False
brickwall,8.0,4.0,256.0,0.0222100880806333,0.808118945003741,0.08019903456961958,0.011492015826709171,4.106914503815965e-33,-1.9399792169615957,0.03333987766041141,0.7395833333333334,0.0010012060332454,0.0009176182066007101,-2.9999681579095485,0.02013491427597078,0.1666666666666666,96.0,8.0,8.0,46.0,14.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,3.5,0.5,0.25,0.5,False
brickwall,8.0,5.0,256.0,0.00922222695353776,0.8599355938500359,0.06396566844771237,0.010824442487944551,3.561668361110992e-33,-1.966213299625426,0.0324773636672909,0.7666666666666667,0.00085992993848284,0.00077817184215973,-3.065923979069853,0.01921712589725224,0.1333333333333333,120.0,10.0,10.0,58.0,18.0,7.0,0.25,1.75,2.0,0.4330127018922193,1.0,1.0,0.49081632653061213,3.0,7.0,3.0,7.0,0.0,3.6,0.4898979485566356,0.25,0.6111111111111112,False
hea_line,4.0,1.0,16.0,0.23286801764758214,0.6158595917003213,0.21616908181580752,0.040559733115810445,4.447243672227386e-33,-1.3941725364295185,0.051664227967939846,0.9166666666666666,0.00857262014670407,1.0545692291569694e-33,-2.0690119178889406,0.03322444955898337,0.6666666666666666,12.0,4.0,4.0,7.0,3.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,3.0,0.0,0.5,0.0,False
hea_line,4.0,2.0,16.0,0.014974828817859559,0.7037436121648712,0.16008962897036189,0.02852522873822525,4.809887318526098e-33,-1.5454470677097245,0.054740464842355306,0.75,0.00590181292846558,0.00324232559745991,-2.230070946279015,0.04094657739731215,0.3333333333333333,24.0,7.0,7.0,14.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,3.0,0.0,0.5,0.5,False
hea_line,4.0,3.0,16.0,0.0030576126692579498,0.7884140718578995,0.11541578471602962,0.02341341541743515,5.5830596189488286e-33,-1.6306960149655658,0.06184820751759793,0.6111111111111112,0.00525693016190626,0.00422459250422332,-2.2798070586958863,0.04571316706330792,0.22222222222222224,36.0,10.0,10.0,21.0,9.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,3.0,0.0,0.5,0.6666666666666667,False
hea_line,4.0,4.0,16.0,0.0018359880503754302,0.7992968322918129,0.09593543868139502,0.01790183019115247,0.00474997385147177,-1.7474185466437067,0.06206330318601614,0.4791666666666667,0.00524056366768571,0.0049748775247493,-2.281275442125223,0.04936496710101655,0.1666666666666666,48.0,13.0,13.0,28.0,12.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,3.0,0.0,0.5,0.75,False
hea_line,4.0,5.0,16.0,0.0022257438400281903,0.8147493834910232,0.08303398632842598,0.01798274312690305,0.015069929470174308,-1.7454666223925996,0.0732281927989753,0.3833333333333333,0.0055187507294985,0.00566244032067742,-2.258636588036064,0.052585912020234035,0.1333333333333333,60.0,16.0,16.0,35.0,15.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,3.0,0.0,0.5,0.8,False
hea_line,6.0,1.0,64.0,0.21359368588997252,0.7230500799106145,0.15034290642999687,0.027395317730143132,5.089807610547171e-33,-1.56300555174562,0.034948332230450005,0.9444444444444444,0.00294290711321445,7.631453900971691e-34,-2.5327779812157094,0.01703771521209633,0.6666666666666666,18.0,6.0,6.0,11.0,5.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,5.0,0.0,0.3333333333333333,0.0,False
hea_line,6.0,2.0,64.0,0.02785644885709762,0.7975316390547552,0.10646786116016409,0.01904449872092808,4.3073354543881706e-33,-1.721675377403722,0.03609869356390981,0.8333333333333334,0.0018835776932817397,0.0004941670175539999,-2.7259512392091776,0.02096748553600615,0.3333333333333333,36.0,9.0,9.0,22.0,10.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,5.0,0.0,0.3333333333333333,0.5,False
hea_line,6.0,3.0,64.0,0.00501286895241184,0.8806496552629067,0.06640490252888413,0.015610157681399232,3.250795578896206e-33,-1.807346253658702,0.04106482835164873,0.7407407407407407,0.001474684074393,0.00071220203620993,-2.831963149445134,0.022115079937687458,0.22222222222222224,54.0,12.0,12.0,33.0,15.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,5.0,0.0,0.3333333333333333,0.6666666666666667,True
hea_line,6.0,4.0,64.0,0.00096177195327693,0.911334217071647,0.047419545912807594,0.01246299992070771,3.149049810857545e-33,-1.9048105720254909,0.0424745486856687,0.6527777777777778,0.0012794216287145,0.0008850890232154201,-2.8936358826579442,0.02298510204483543,0.1666666666666666,72.0,15.0,15.0,44.0,20.0,5.0,0.3333333333333333,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,0.58,2.333333333333333,5.0,2.333333333333333,5.0,0.0,5.0,0.0,0.3333333333333333,0.75,True
