family,n_qubits,depth_setting,instance,seed,effective_hilbert_dim,expressibility_kl,meyer_wallach_mean,meyer_wallach_std,gradient_variance_mean_local_z,gradient_variance_median_local_z,log10_gradient_variance_mean_local_z,mean_abs_gradient_local_z,near_zero_gradient_fraction_local_z,gradient_variance_mean_staggered_z,gradient_variance_median_staggered_z,log10_gradient_variance_mean_staggered_z,mean_abs_gradient_staggered_z,near_zero_gradient_fraction_staggered_z,parameter_count,logical_depth,compiled_depth,total_gate_count,two_qubit_gate_count,connectivity_edges,connectivity_density,mean_degree,max_degree,degree_std,n_components,largest_component_fraction,global_efficiency,avg_shortest_path,diameter,avg_shortest_path_lcc,diameter_lcc,clustering_coefficient,mean_edges_per_layer,std_edges_per_layer,edge_coverage,edge_reuse_fraction
brickwall,4,1,0,204142,16.0,0.2487592168806217,0.3614003912900286,0.2394546742161803,0.0438068948530722,3.4148884454163526e-33,-1.358457529656095,0.0545475181122119,0.9166666666666666,0.0109365711331365,1.117083383614293e-33,-1.9611188179818464,0.044863407329743,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,1,204143,16.0,0.2230505096154713,0.3921116389952992,0.2322174603963122,0.0388504966000123,3.362830687864144e-33,-1.4106034255305917,0.049530907887292,0.9166666666666666,0.0097643053647917,1.0265947433926325e-33,-2.0103586470989394,0.0431511438710459,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,2,204144,16.0,0.2428520190272187,0.3427736767503501,0.2336574701213949,0.0375113969630251,5.304389326695368e-33,-1.4258367619746792,0.049505399560835,0.9166666666666666,0.011439379170203,1.0627674424681937e-33,-1.941597544622653,0.0444992828589676,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,3,204145,16.0,0.1962125643315708,0.3819630913109295,0.2321949837085861,0.0366453748693762,4.7968221120275205e-33,-1.4359808312674078,0.0495359741279667,0.9166666666666666,0.0106365778238038,1.0650747100014212e-33,-1.973198077990228,0.0426874962699569,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,4,204146,16.0,0.2283431081873839,0.3511220095154935,0.2309020548165645,0.0412508383531842,4.148744988607698e-33,-1.384567220727098,0.0522343430367876,0.9166666666666666,0.0099486959583939,5.858039953384092e-34,-2.0022338413838137,0.0414663581570398,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,5,204147,16.0,0.2017368155701137,0.4000475872981889,0.1985679702188785,0.0407563454772716,4.031866327922071e-33,-1.3898047650534973,0.0515060379935579,0.9166666666666666,0.0115346358580225,1.0084291496915517e-33,-1.9379961113594184,0.0454922391179466,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,6,204148,16.0,0.2486073691568611,0.3508356004135496,0.224622229981217,0.0425427095153352,3.8603249544381545e-33,-1.371174853641436,0.0533814460508371,0.9166666666666666,0.0101745035651832,1.4212751499222432e-33,-1.992486771700896,0.0423871754191748,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,7,204149,16.0,0.2197927180816782,0.4031251518265212,0.2147450445732745,0.0483644070258754,3.903379577442633e-33,-1.315474132546253,0.0592289245567229,0.9166666666666666,0.010324653063208,1.3363228646767119e-33,-1.9861245329176445,0.0432395941685945,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,8,204150,16.0,0.2427630170954622,0.3890974986171878,0.2170671947671597,0.032804900524628,4.792530642917942e-33,-1.4840612748300352,0.0465102277564177,0.9166666666666666,0.0106662410532742,1.1693518949772153e-33,-1.9719886056405915,0.0442901270497898,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
brickwall,4,1,9,204151,16.0,0.2399648543838438,0.3567609633911004,0.2285757324341082,0.0415775550056765,4.7529385580811975e-33,-1.3811410532143535,0.0530034848084787,0.9166666666666666,0.0104060144440672,1.3607377122390872e-33,-1.9827155756171544,0.0434778351476543,0.6666666666666666,12.0,2.0,2.0,6.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.5,0.3333333333333333,,,1.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0
