,expressibility_kl,meyer_wallach_mean,log10_gradient_variance_mean_staggered_z,parameter_count,logical_depth,total_gate_count,two_qubit_gate_count,connectivity_density,mean_degree,n_components,largest_component_fraction,global_efficiency,avg_shortest_path_lcc,diameter_lcc,mean_edges_per_layer,edge_coverage,edge_reuse_fraction
expressibility_kl,1.0,-0.7526600284495021,0.5124893314366998,-0.7452291804864116,-0.8150114832374632,-0.6384827622198709,-0.6094837295661711,-0.3580342640932308,-0.39791188176853093,0.5112547496155972,-0.5124998461850631,-0.4459491680490445,-0.14163125638667298,-0.12448029109558191,-0.24256257949615223,-0.3580342640932308,-0.9112799333041763
meyer_wallach_mean,-0.7526600284495021,1.0,-0.6376671408250356,0.6229456236853045,0.8795587943683167,0.6763604264773021,0.7707627641085648,0.1563217547858132,0.7653057483429613,-0.6095044748527407,0.6095517730198197,0.25925670668158163,0.42778125654812643,0.37601048755285205,0.6766677251485921,0.1563217547858132,0.7982613303003299
log10_gradient_variance_mean_staggered_z,0.5124893314366998,-0.6376671408250356,1.0,-0.7081061126067616,-0.3999136192394227,-0.4402121927190219,-0.35375957841763556,0.34407903691209196,-0.5617117670361526,0.23239483031610592,-0.23399295869452028,0.2214346446654166,-0.4711513171175011,-0.4081598660412958,-0.6318380069693373,0.34407903691209196,-0.353274278421701
parameter_count,-0.7452291804864116,0.6229456236853045,-0.7081061126067616,1.0,0.6254607351658374,0.8258188110974,0.6344630731875462,-0.15073478524087935,0.47990693143599916,-0.4476628247394602,0.44930655513490453,-0.002107485472347817,0.547708457855943,0.5211282772858205,0.25332790598440563,-0.15073478524087935,0.6694325167673703
logical_depth,-0.8150114832374632,0.8795587943683167,-0.3999136192394227,0.6254607351658374,1.0,0.8056234563510366,0.8896913404212649,0.23748471366592405,0.6363574186835383,-0.606098945360181,0.6065417944606932,0.34016026907851726,0.34786901791093977,0.3120200772063053,0.4570640138075965,0.23748471366592405,0.9092112725110217
total_gate_count,-0.6384827622198709,0.6763604264773021,-0.4402121927190219,0.8258188110974,0.8056234563510366,1.0,0.9306691010437838,-0.17668496017114635,0.5683405451021438,-0.5060112400529225,0.5068879932521784,-0.033339914176512546,0.6456887928851363,0.6173290802560037,0.32895696943346525,-0.17668496017114635,0.7437640872078379
two_qubit_gate_count,-0.6094837295661711,0.7707627641085648,-0.35375957841763556,0.6344630731875462,0.8896913404212649,0.9306691010437838,1.0,-0.09839331696197906,0.6268715990058514,-0.5025430664101276,0.5025875659551825,0.018393201517470384,0.5723960016565967,0.5393324404590925,0.5029217905950426,-0.09839331696197906,0.7909144246629085
connectivity_density,-0.3580342640932308,0.1563217547858132,0.34407903691209196,-0.15073478524087935,0.23748471366592405,-0.17668496017114635,-0.09839331696197906,1.0,0.013507637191026437,-0.4595834811750649,0.45883679306028125,0.9483977552159895,-0.4057466660684102,-0.38535577670135673,-0.34203087025882556,1.0,0.29277494449712205
mean_degree,-0.39791188176853093,0.7653057483429613,-0.5617117670361526,0.47990693143599916,0.6363574186835383,0.5683405451021438,0.6268715990058514,0.013507637191026437,1.0,-0.6117893170663301,0.611804312033079,0.15097093396204994,0.534118785298013,0.4543065714168073,0.6510148463325348,0.013507637191026437,0.4011823220787369
n_components,0.5112547496155972,-0.6095044748527407,0.23239483031610592,-0.4476628247394602,-0.606098945360181,-0.5060112400529225,-0.5025430664101276,-0.4595834811750649,-0.6117893170663301,1.0,-0.9998120265401917,-0.6222616053591176,-0.5775376859434126,-0.5758540427234377,-0.07733115751822559,-0.4595834811750649,-0.47925916488085263
